#,Fecha del siniestro,Entidad Federativa,Municipio,Grupo de siniestro,Tipo de siniestro
8641,17-03-2023,Chihuahua,Cuauhtémoc ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8642,17-03-2023,Colima,Tecomán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8643,18-03-2023,Chihuahua,Mapimí,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8644,18-03-2023,Jalisco,Amatitlán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8645,18-03-2023,Chihuahua,Urique ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8646,19-03-2023,Jalisco,Tlajomulco De Zúñiga ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8647,19-03-2023,Michoacán de Ocampo,Yurécuaro ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8648,19-03-2023,Michoacán de Ocampo,José Sixto Verduzco ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8649,21-03-2023,Querétaro,El Marqués ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8650,21-03-2023,Guanajuato,Pénjamo ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8651,21-03-2023,Jalisco,La Barca ,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
8652,21-03-2023,Jalisco,San Pedro Tlaquepaque ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8653,23-03-2023,Guanajuato,Irapuato ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8654,23-03-2023,Jalisco,Tlajomulco De Zúñiga ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8655,23-03-2023,Coahuila de Zaragoza,Allende ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8656,25-03-2023,Hidalgo,Huichapan ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8657,26-03-2023,Querétaro,Querétaro ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8658,26-03-2023,Guanajuato,Salamanca ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8659,26-03-2023,Sinaloa,Culiacán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8660,26-03-2023,Jalisco,Ocotlán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8661,27-03-2023,Guanajuato,León ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8662,27-03-2023,Jalisco,Ocotlán ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8663,31-03-2023,Chihuahua,Ahumada ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8664,31-03-2023,Jalisco,Atoyac ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8665,01-03-2023,México,Toluca,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8666,02-03-2023,San Luis Potosí,San Luis Potosí,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
